Ticker,Date,Closing Price,Price + All Divs Received (No DRIP)
WNTR,2025-09-29,29.9,44.695
WNTR,2025-09-30,30.04,44.835
WNTR,2025-10-01,29.01,43.805
WNTR,2025-10-02,28,42.795
WNTR,2025-10-03,27.93,42.725
WNTR,2025-10-06,27.85,42.645
WNTR,2025-10-07,29.2,43.995
WNTR,2025-10-08,29.16,43.955
WNTR,2025-10-09,29.59,44.385
WNTR,2025-10-10,30.47,45.265
WNTR,2025-10-13,30.1,44.895
WNTR,2025-10-14,31.08,45.875
WNTR,2025-10-15,31.5,46.295
WNTR,2025-10-16,30.88,47.143
WNTR,2025-10-17,30.35,46.613
WNTR,2025-10-20,30.13,46.393
WNTR,2025-10-21,29.7,45.963
WNTR,2025-10-22,31.2,47.463
WNTR,2025-10-23,30.67,47.543
WNTR,2025-10-24,30.53,47.403
WNTR,2025-10-27,30,46.873
WNTR,2025-10-28,31,47.873
WNTR,2025-10-29,31.44,48.313
WNTR,2025-10-30,31.97,49.44
WNTR,2025-10-31,31.41,48.88
WNTR,2025-11-03,31.78,49.25
WNTR,2025-11-04,33.09,50.56
WNTR,2025-11-05,32.95,50.42
WNTR,2025-11-06,33.14,51.345
WNTR,2025-11-07,32.58,50.785
WNTR,2025-11-10,32.83,51.035
WNTR,2025-11-11,33.74,51.945
WNTR,2025-11-12,34.6,52.805
WNTR,2025-11-13,35.19,54.215
WNTR,2025-11-14,36.7,55.725
WNTR,2025-11-17,36.87,55.895
WNTR,2025-11-18,35.39,54.415
WNTR,2025-11-19,37.57,56.595
WNTR,2025-11-20,37.47,57.344
WNTR,2025-11-21,38.44,58.314
WNTR,2025-11-24,37.06,56.934
WNTR,2025-11-25,38.55,58.424
WNTR,2025-11-26,38.15,58.024
WNTR,2025-11-28,37.02,57.82
WNTR,2025-12-01,38.2,59
WNTR,2025-12-02,36.95,57.75
WNTR,2025-12-03,35.45,56.25
WNTR,2025-12-04,35.03,56.474
WNTR,2025-12-05,36.39,57.834
WNTR,2025-12-08,35.85,57.294
WNTR,2025-12-09,35.05,56.494
WNTR,2025-12-10,35.85,57.294
WNTR,2025-12-11,35.69,57.531
WNTR,2025-12-12,36.42,58.261
WNTR,2025-12-15,38.21,60.051
WNTR,2025-12-16,37.91,59.751
WNTR,2025-12-17,38.86,60.701
WNTR,2025-12-18,38.68,61.152
WNTR,2025-12-19,37.55,60.022
WNTR,2025-12-22,37.65,60.122
WNTR,2025-12-23,38.85,61.322
WNTR,2025-12-24,39.16,61.632
WNTR,2025-12-26,38.48,61.706
WNTR,2025-12-29,38.69,61.916
WNTR,2025-12-30,39.08,62.306
WNTR,2025-12-31,39.66,63.5672
WNTR,2026-01-02,38.22,62.8082
WNTR,2026-01-05,36.67,61.2582
WNTR,2026-01-06,38.18,62.7682
WNTR,2026-01-07,37.65,62.7658
ESK,2020-01-02,0.22,0.22
ESK,2020-01-03,0.23,0.23
ESK,2020-01-06,0.22,0.22
ESK,2020-01-07,0.22,0.22
ESK,2020-01-08,0.2,0.2
ESK,2020-01-09,0.24,0.24
ESK,2020-01-10,0.23,0.23
ESK,2020-01-13,0.26,0.26
ESK,2020-01-14,0.24,0.24
ESK,2020-01-15,0.25,0.25
ESK,2020-01-16,0.31,0.31
ESK,2020-01-17,0.33,0.33
ESK,2020-01-20,0.3,0.3
ESK,2020-01-21,0.28,0.28
ESK,2020-01-22,0.24,0.24
ESK,2020-01-23,0.27,0.27
ESK,2020-01-24,0.25,0.25
ESK,2020-01-27,0.25,0.25
ESK,2020-01-28,0.25,0.25
ESK,2020-01-29,0.24,0.24
ESK,2020-01-30,0.25,0.25
ESK,2020-01-31,0.22,0.22
ESK,2020-02-03,0.25,0.25
ESK,2020-02-04,0.24,0.24
ESK,2020-02-05,0.23,0.23
ESK,2020-02-07,0.27,0.27
ESK,2020-02-10,0.26,0.26
ESK,2020-02-11,0.24,0.24
ESK,2020-02-12,0.23,0.23
ESK,2020-02-13,0.24,0.24
ESK,2020-02-14,0.24,0.24
ESK,2020-02-18,0.27,0.27
ESK,2020-02-19,0.28,0.28
ESK,2020-02-20,0.27,0.27
ESK,2020-02-21,0.28,0.28
ESK,2020-02-24,0.25,0.25
ESK,2020-02-25,0.25,0.25
ESK,2020-02-26,0.25,0.25
ESK,2020-02-28,0.18,0.18
ESK,2020-03-02,0.21,0.21
ESK,2020-03-03,0.21,0.21
ESK,2020-03-04,0.2,0.2
ESK,2020-03-05,0.21,0.21
ESK,2020-03-06,0.21,0.21
ESK,2020-03-09,0.25,0.25
ESK,2020-03-10,0.2,0.2
ESK,2020-03-11,0.17,0.17
ESK,2020-03-12,0.17,0.17
ESK,2020-03-13,0.15,0.15
ESK,2020-03-16,0.18,0.18
ESK,2020-03-17,0.12,0.12
ESK,2020-03-18,0.14,0.14
ESK,2020-03-20,0.13,0.13
ESK,2020-03-23,0.13,0.13
ESK,2020-03-24,0.14,0.14
ESK,2020-03-25,0.15,0.15
ESK,2020-03-26,0.15,0.15
ESK,2020-03-27,0.16,0.16
ESK,2020-03-30,0.15,0.15
ESK,2020-03-31,0.13,0.13
ESK,2020-04-02,0.14,0.14
ESK,2020-04-03,0.16,0.16
ESK,2020-04-06,0.18,0.18
ESK,2020-04-07,0.18,0.18
ESK,2020-04-08,0.16,0.16
ESK,2020-04-09,0.16,0.16
ESK,2020-04-13,0.16,0.16
ESK,2020-04-14,0.19,0.19
ESK,2020-04-15,0.16,0.16
ESK,2020-04-16,0.17,0.17
ESK,2020-04-17,0.16,0.16
ESK,2020-04-20,0.15,0.15
ESK,2020-04-21,0.16,0.16
ESK,2020-04-22,0.14,0.14
ESK,2020-04-23,0.15,0.15
ESK,2020-04-24,0.15,0.15
ESK,2020-04-27,0.15,0.15
ESK,2020-04-28,0.16,0.16
ESK,2020-04-29,0.15,0.15
ESK,2020-04-30,0.15,0.15
ESK,2020-05-01,0.15,0.15
ESK,2020-05-04,0.15,0.15
ESK,2020-05-05,0.28,0.28
ESK,2020-05-06,0.24,0.24
ESK,2020-05-07,0.21,0.21
ESK,2020-05-08,0.2,0.2
ESK,2020-05-11,0.18,0.18
ESK,2020-05-13,0.2,0.2
ESK,2020-05-14,0.19,0.19
ESK,2020-05-15,0.19,0.19
ESK,2020-05-19,0.18,0.18
ESK,2020-05-20,0.19,0.19
ESK,2020-05-21,0.21,0.21
ESK,2020-05-22,0.2,0.2
ESK,2020-05-25,0.2,0.2
ESK,2020-05-26,0.18,0.18
ESK,2020-05-27,0.2,0.2
ESK,2020-05-28,0.2,0.2
ESK,2020-05-29,0.2,0.2
ESK,2020-06-01,0.21,0.21
ESK,2020-06-02,0.19,0.19
ESK,2020-06-03,0.2,0.2
ESK,2020-06-04,0.2,0.2
ESK,2020-06-05,0.17,0.17
ESK,2020-06-08,0.2,0.2
ESK,2020-06-09,0.18,0.18
ESK,2020-06-10,0.2,0.2
ESK,2020-06-11,0.2,0.2
ESK,2020-06-12,0.18,0.18
ESK,2020-06-15,0.18,0.18
ESK,2020-06-16,0.17,0.17
ESK,2020-06-17,0.18,0.18
ESK,2020-06-18,0.18,0.18
ESK,2020-06-19,0.18,0.18
ESK,2020-06-22,0.22,0.22
ESK,2020-06-23,0.24,0.24
ESK,2020-06-24,0.23,0.23
ESK,2020-06-25,0.23,0.23
ESK,2020-06-26,0.22,0.22
ESK,2020-06-29,0.22,0.22
ESK,2020-06-30,0.28,0.28
ESK,2020-07-02,0.33,0.33
ESK,2020-07-03,0.32,0.32
ESK,2020-07-06,0.38,0.38
ESK,2020-07-07,0.37,0.37
ESK,2020-07-08,0.35,0.35
ESK,2020-07-09,0.33,0.33
ESK,2020-07-10,0.34,0.34
ESK,2020-07-13,0.36,0.36
ESK,2020-07-14,0.42,0.42
ESK,2020-07-15,0.45,0.45
ESK,2020-07-16,0.43,0.43
ESK,2020-07-17,0.42,0.42
ESK,2020-07-20,0.43,0.43
ESK,2020-07-21,0.46,0.46
ESK,2020-07-22,0.47,0.47
ESK,2020-07-23,0.5,0.5
ESK,2020-07-24,0.48,0.48
ESK,2020-07-27,0.48,0.48
ESK,2020-07-28,0.5,0.5
ESK,2020-07-29,0.46,0.46
ESK,2020-07-30,0.46,0.46
ESK,2020-07-31,0.45,0.45
ESK,2020-08-04,0.46,0.46
ESK,2020-08-05,0.52,0.52
ESK,2020-08-06,0.49,0.49
ESK,2020-08-07,0.54,0.54
ESK,2020-08-10,0.66,0.66
ESK,2020-08-11,0.63,0.63
ESK,2020-08-12,0.66,0.66
ESK,2020-08-13,0.82,0.82
ESK,2020-08-14,0.84,0.84
ESK,2020-08-17,0.85,0.85
ESK,2020-08-18,0.78,0.78
ESK,2020-08-19,0.69,0.69
ESK,2020-08-20,0.8,0.8
ESK,2020-08-21,0.7,0.7
ESK,2020-08-24,0.7,0.7
ESK,2020-08-25,0.67,0.67
ESK,2020-08-26,0.63,0.63
ESK,2020-08-27,0.62,0.62
ESK,2020-08-28,0.65,0.65
ESK,2020-08-31,0.82,0.82
ESK,2020-09-01,0.79,0.79
ESK,2020-09-02,0.79,0.79
ESK,2020-09-03,0.75,0.75
ESK,2020-09-04,0.8,0.8
ESK,2020-09-08,0.78,0.78
ESK,2020-09-09,0.82,0.82
ESK,2020-09-10,0.85,0.85
ESK,2020-09-11,0.79,0.79
ESK,2020-09-14,0.86,0.86
ESK,2020-09-15,0.8,0.8
ESK,2020-09-16,0.8,0.8
ESK,2020-09-17,0.82,0.82
ESK,2020-09-18,0.84,0.84
ESK,2020-09-21,0.81,0.81
ESK,2020-09-22,0.8,0.8
ESK,2020-09-23,0.76,0.76
ESK,2020-09-24,0.75,0.75
ESK,2020-09-25,0.78,0.78
ESK,2020-09-28,0.75,0.75
ESK,2020-09-29,0.7,0.7
ESK,2020-09-30,0.73,0.73
ESK,2020-10-01,0.74,0.74
ESK,2020-10-02,0.69,0.69
ESK,2020-10-05,0.75,0.75
ESK,2020-10-06,0.74,0.74
ESK,2020-10-07,0.76,0.76
ESK,2020-10-08,0.76,0.76
ESK,2020-10-09,0.76,0.76
ESK,2020-10-13,0.81,0.81
ESK,2020-10-14,0.9,0.9
ESK,2020-10-15,0.91,0.91
ESK,2020-10-16,1,1
ESK,2020-10-19,1.12,1.12
ESK,2020-10-20,1.2,1.2
ESK,2020-10-21,1.1,1.1
ESK,2020-10-22,1.15,1.15
ESK,2020-10-23,1.13,1.13
ESK,2020-10-26,1.07,1.07
ESK,2020-10-27,1.02,1.02
ESK,2020-10-28,0.95,0.95
ESK,2020-10-29,0.97,0.97
ESK,2020-10-30,0.96,0.96
ESK,2020-11-02,1.1,1.1
ESK,2020-11-03,1.06,1.06
ESK,2020-11-04,1.03,1.03
ESK,2020-11-05,1.05,1.05
ESK,2020-11-06,1.09,1.09
ESK,2020-11-09,1.08,1.08
ESK,2020-11-10,1.02,1.02
ESK,2020-11-11,1.07,1.07
ESK,2020-11-12,1.06,1.06
ESK,2020-11-13,1.04,1.04
ESK,2020-11-16,1.03,1.03
ESK,2020-11-17,1.02,1.02
ESK,2020-11-18,1.02,1.02
ESK,2020-11-19,1,1
ESK,2020-11-20,1.01,1.01
ESK,2020-11-23,0.97,0.97
ESK,2020-11-24,0.91,0.91
ESK,2020-11-25,0.89,0.89
ESK,2020-11-26,0.88,0.88
ESK,2020-11-27,0.85,0.85
ESK,2020-11-30,0.88,0.88
ESK,2020-12-01,0.9,0.9
ESK,2020-12-02,0.89,0.89
ESK,2020-12-03,0.9,0.9
ESK,2020-12-04,0.94,0.94
ESK,2020-12-07,0.94,0.94
ESK,2020-12-08,0.99,0.99
ESK,2020-12-09,1.05,1.05
ESK,2020-12-10,1.02,1.02
ESK,2020-12-11,1.09,1.09
ESK,2020-12-14,1.1,1.1
ESK,2020-12-15,1.04,1.04
ESK,2020-12-16,1.03,1.03
ESK,2020-12-17,1.04,1.04
ESK,2020-12-18,1.02,1.02
ESK,2020-12-21,1.1,1.1
ESK,2020-12-22,1.41,1.41
ESK,2020-12-23,1.76,1.76
ESK,2020-12-24,1.95,1.95
ESK,2020-12-29,1.85,1.85
ESK,2020-12-30,1.85,1.85
ESK,2020-12-31,2.2,2.2
ESK,2021-01-04,2.47,2.47
ESK,2021-01-05,2.51,2.51
ESK,2021-01-06,2.27,2.27
ESK,2021-01-07,2.4,2.4
ESK,2021-01-08,2.26,2.26
ESK,2021-01-11,2.14,2.14
ESK,2021-01-12,2.3,2.3
ESK,2021-01-13,2.15,2.15
ESK,2021-01-14,2.15,2.15
ESK,2021-01-15,2.23,2.23
ESK,2021-01-18,2.05,2.05
ESK,2021-01-19,2.1,2.1
ESK,2021-01-20,2.12,2.12
ESK,2021-01-21,2.12,2.12
ESK,2021-01-22,2.2,2.2
ESK,2021-01-25,2.13,2.13
ESK,2021-01-26,2.13,2.13
ESK,2021-01-27,2.06,2.06
ESK,2021-01-28,2.2,2.2
ESK,2021-01-29,2.4,2.4
ESK,2021-02-01,2.72,2.72
ESK,2021-02-02,2.6,2.6
ESK,2021-02-03,2.52,2.52
ESK,2021-02-04,2.82,2.82
ESK,2021-02-05,3,3
ESK,2021-02-08,2.83,2.83
ESK,2021-02-09,2.72,2.72
ESK,2021-02-10,2.49,2.49
ESK,2021-02-11,2.5,2.5
ESK,2021-02-12,2.45,2.45
ESK,2021-02-16,2.45,2.45
ESK,2021-02-17,2.37,2.37
ESK,2021-02-18,2.23,2.23
ESK,2021-02-19,2.34,2.34
ESK,2021-02-22,2.4,2.4
ESK,2021-02-23,2.33,2.33
ESK,2021-02-24,2.3,2.3
ESK,2021-02-25,2.39,2.39
ESK,2021-02-26,2.4,2.4
ESK,2021-03-01,2.2,2.2
ESK,2021-03-02,2.18,2.18
ESK,2021-03-03,2.05,2.05
ESK,2021-03-04,1.96,1.96
ESK,2021-03-05,2.17,2.17
ESK,2021-03-08,2.14,2.14
ESK,2021-03-09,2.29,2.29
ESK,2021-03-10,2.43,2.43
ESK,2021-03-11,2.4,2.4
ESK,2021-03-12,2.35,2.35
ESK,2021-03-15,2.45,2.45
ESK,2021-03-16,2.42,2.42
ESK,2021-03-17,2.59,2.59
ESK,2021-03-18,2.53,2.53
ESK,2021-03-19,2.48,2.48
ESK,2021-03-22,2.38,2.38
ESK,2021-03-23,2.37,2.37
ESK,2021-03-24,2.35,2.35
ESK,2021-03-25,2.16,2.16
ESK,2021-03-26,2.26,2.26
ESK,2021-03-29,2.21,2.21
ESK,2021-03-30,2.12,2.12
ESK,2021-03-31,2.21,2.21
ESK,2021-04-01,2.23,2.23
ESK,2021-04-05,2.29,2.29
